,username,text,query,hashtags,is_road_closed
15,DaytonCharityChicken🐔🧢,i’m also listening to northern california major incident but via the scanner radio: police & fire app (also used this during dayton tornado and saddleridgefire). a number of good tools available.  #kincadefire #kincadefire #kincadefire #kincadefire #kincadefire https: twitter.com/mattvillano/status/1188439002430332935 …pic.twitter.com/4wp3twykno,saddleridgefire,"['KincadeFire', 'KincadeFire', 'KincadeFire', 'KincadeFire', 'KincadeFire']",0
16,Cristian Guezz 🦊,alguien más se arrepiente de no haber salido #sabadoencasa #sabadodeluxe #saturdaynight #sabadosad #saddleridgefire #sadboy,saddleridgefire,"['sabadoencasa', 'SABADODELUXE', 'saturdaynight', 'Sabadosad', 'SaddleridgeFire', 'sadboy']",0
17,JakeJeong,"tests show small levels of gas leaking from #porterranch facility after the #saddleridgefire. so far these gases aren’t reaching the community, but if you feel affected please report it immediately. be safe.

https: ktla.com/2019/10/24/gas-is-emitting-from-aliso-canyon-after-it-burned-in-saddleridge-fire-but-methane-isnt-impacting-communities-officials/ …",saddleridgefire,"['porterranch', 'SaddleRidgeFire']",0
18,Sharon Hansel 🦋,"smoke from the #kinkadefire in st. helena the other day.  my place is small, but anyone displaced by the #gettyfire or #saddleridgefire or any other fire is welcome to stay here until they get things under control!… https: www.instagram.com/p/b4llo2ag9yt/?igshid=1gwkziwm5nuic …",saddleridgefire,"['kinkadefire', 'GettyFire', 'SaddleridgeFire']",0
19,LAFPP,thank you to all of our firefighters and first responders who have been battling the fires and keeping our city safe!  #lafd #firefighters #losangeles #gettyfire #saddleridgefire pic.twitter.com/k2axzunsug,saddleridgefire,"['LAFD', 'firefighters', 'losangeles', 'gettyfire', 'saddleridgefire']",0
20,Evac-U-Pet,thank you for running our story! #evacupet #saddleridgefire #gettyfirehttps: twitter.com/abc7/status/1188943590434623488 …,saddleridgefire,"['evacupet', 'SaddleridgeFire', 'GettyFirehttps']",0
21,Madison Shirley,"thinking of those in ca that are facing all these fires. 15  up and down the state. @calfire and @lafd, youre doing a great job trying to keep people safe even in a seemingly impossible situation. #gettyfire #kincaidfire #saddleridgefire #tickfire #burrisfire #palisadesfirehttps: twitter.com/latimes/status/1188796291834245126 …",saddleridgefire,"['GettyFire', 'KincaidFire', 'SaddleridgeFire', 'TickFire', 'BurrisFire', 'PalisadesFirehttps']",0
22,IZASocaJunkie🇬🇾🇬🇾,#firestate #wildfires #firedays #californialiving #saddleridgefire #tickfire #gettyfirepic.twitter.com/owtdnr3o3z,saddleridgefire,"['FireState', 'Wildfires', 'FireDays', 'CaliforniaLiving', 'SaddleridgeFire', 'TickFire', 'GettyFirepic']",0
23,Hvper News,gavin newsom #gavinnewsom saddleridge fire #saddleridgefire diablo #diablo northern california #nor new fires are spreading in california despite power blackouts to prevent ignition viahttps: www.hvper.com/?ref=tt ,saddleridgefire,"['GavinNewsom', 'SaddleridgeFire', 'Diablo', 'Nor']",0
24,worth,"the destruction wont end once the fires are out.. if we have another record rainfall winter, there will be plenty of mudslides/flooding as a result of burned out areas.. especially those hillsides near homes

#kincadefire #gettyfire #tickfire #saddleridgefire",saddleridgefire,"['kincadefire', 'gettyfire', 'TickFire', 'saddleridgefire']",0
25,Emergency Management,what fires are burning in california and which are the most dangerous? http: bit.ly/2pqnorp  #kincade #tickfire #skyfire #saddleridgefire pic.twitter.com/vyumls0olw,saddleridgefire,"['Kincade', 'TickFire', 'SkyFire', 'SaddleridgeFire']",0
26,AQ Environmental,"delivering #hepa #airscrubbers to help buildings, hospitals schools, offices and homes fight smoke damage and obtain safer air to breath.
.
.
.
.
.
.
.
   #kincadefire #oakfire #gettyfire #palisadesfire #tickfire #saddleridgefire #sandalwoodfire #cherryfire #fire #smokepic.twitter.com/mwfdvp4rvb",saddleridgefire,"['HEPA', 'airscrubbers', 'KincadeFire', 'Oakfire', 'Gettyfire', 'PalisadesFire', 'TickFire', 'SaddleridgeFire', 'SandalwoodFire', 'CherryFire', 'fire', 'smokepic']",0
27,Compounding Pharmacy of Beverly Hills,"with the conditions so dry in california, please prepare yourself. remember the 6 ps when evacuating.
people & pets
papers (important documents)
prescriptions
photos
pc hard drives & disks
""plastic"" (credit/atm cards) & cash
#gettyfire #tickfire #saddleridgefire pic.twitter.com/wnej4yhakx",saddleridgefire,"['gettyfire', 'tickfire', 'saddleridgefire']",0
28,Brennan Prill ⚡︎,"as of 8am pdt in #socal
#kincadefire: 66,231 acres | 5%

#saddleridgefire: 8,799 acres | 97%

#tickfire: 4,615 acres | 70%

#burrisfire: 350 acres | 20%

#skyfire: 150 acres | 90%

#sawdayfire: 97 acres | 98%

#gettyfire: new (updates soon)pic.twitter.com/fmfijudd92",saddleridgefire,"['SoCal', 'KincadeFire', 'SaddleRidgeFire', 'TickFire', 'BurrisFire', 'SkyFire', 'SawdayFire', 'GettyFire']",0
29,Dr. Marena Lin,when fires are so out-of-control that our firefighters don’t have time to be thanked... #gettyfire #saddleridgefire pic.twitter.com/w8flgtmhjd,saddleridgefire,"['GettyFire', 'SaddleridgeFire']",0
30,🍊range 🌊ounty for Pete 🐝,"our hearts are with our everyone impacted by the 8 active #californiafires and the 30+ fires already contained in 2019. please dm if theres anything we can do to help!

#gettyfire #kincaidfire #tickfire #saddleridgefire #taboosefire #cowfire #sawdayfire #lafayettefire #teampetepic.twitter.com/fyhsknzljx",saddleridgefire,"['CaliforniaFires', 'GettyFire', 'KincaidFire', 'TickFire', 'SaddleridgeFire', 'TabooseFire', 'CowFire', 'SawdayFire', 'LafayetteFire', 'TeamPetepic']",0
31,Rosie,so in the past few weeks the la area has had #saddleridgefire #pacificpalisadesfire #tickfire and now the #gettyfire what the hell is happening?,saddleridgefire,"['SaddleridgeFire', 'PacificPalisadesFire', 'TickFire', 'GettyFire']",0
32,IZASocaJunkie🇬🇾🇬🇾,"some states have snow days, out here in california we have fire days   #firedays #firestate #wildfires #saddleridgefire #tickfire #gettyfire #schoolclosures #lausd",saddleridgefire,"['FireDays', 'FireState', 'Wildfires', 'SaddleridgeFire', 'TickFire', 'GettyFire', 'SchoolClosures', 'LAUSD']",0
33,Amber Says IDGAF,"crikey, another fire this year near the getty?! can california please stop burning?!?!?!? 
#gettyfire
#tickfire
#kincadefire
#saddleridgefire
#toodamnmanyfires",saddleridgefire,"['GettyFire', 'TickFire', 'KincadeFire', 'SaddleridgeFire', 'TooDamnManyFires']",0
34,hermela aregawi,"weve had several fires in last few weeks, #saddleridgefire #palisadesfire #kincadefire (norcal) #tickfire, dangerous season right now. santa ana winds pick up sept -april.. no significant rainfall.. very very concerned abt weather conditions. - @lafd #gettyfire @cbslapic.twitter.com/ibdkfifojr",saddleridgefire,"['saddleridgefire', 'palisadesfire', 'Kincadefire', 'tickfire', 'GettyFire']",0
35,K. L. Connie Wang,"no, thats in northern california. im in so cal. we had the #tickfire and #saddleridgefire plus a bunch more but im okay!",saddleridgefire,"['TickFire', 'SaddleridgeFire']",0
36,🔅Danana🔅,"you’re not to bright are you kayla ? how y’all gonna door knock after two major fires 
#tickfire #saddleridgefire 
y’all care more about losing a seat in congress, than helping those in need @redcross @redcrossnorcal could use some volunteers  ca fires",saddleridgefire,"['TickFire', 'SaddleridgeFire']",0
37,Sharon Hansel 🦋,"smoke from the #kinkadefire in st. helena the other day.  my place is small, but anyone displaced by the #gettyfire or #saddleridgefire or any other fire is welcome to stay here until they get things under control!… https: www.instagram.com/p/b4llo2ag9yt/?igshid=1gwkziwm5nuic …",saddleridgefire,"['kinkadefire', 'GettyFire', 'SaddleridgeFire']",0
38,LAFPP,thank you to all of our firefighters and first responders who have been battling the fires and keeping our city safe!  #lafd #firefighters #losangeles #gettyfire #saddleridgefire pic.twitter.com/k2axzunsug,saddleridgefire,"['LAFD', 'firefighters', 'losangeles', 'gettyfire', 'saddleridgefire']",0
39,Evac-U-Pet,thank you for running our story! #evacupet #saddleridgefire #gettyfirehttps: twitter.com/abc7/status/1188943590434623488 …,saddleridgefire,"['evacupet', 'SaddleridgeFire', 'GettyFirehttps']",0
40,Madison Shirley,"thinking of those in ca that are facing all these fires. 15  up and down the state. @calfire and @lafd, youre doing a great job trying to keep people safe even in a seemingly impossible situation. #gettyfire #kincaidfire #saddleridgefire #tickfire #burrisfire #palisadesfirehttps: twitter.com/latimes/status/1188796291834245126 …",saddleridgefire,"['GettyFire', 'KincaidFire', 'SaddleridgeFire', 'TickFire', 'BurrisFire', 'PalisadesFirehttps']",0
41,IZASocaJunkie🇬🇾🇬🇾,#firestate #wildfires #firedays #californialiving #saddleridgefire #tickfire #gettyfirepic.twitter.com/owtdnr3o3z,saddleridgefire,"['FireState', 'Wildfires', 'FireDays', 'CaliforniaLiving', 'SaddleridgeFire', 'TickFire', 'GettyFirepic']",0
42,Hvper News,gavin newsom #gavinnewsom saddleridge fire #saddleridgefire diablo #diablo northern california #nor new fires are spreading in california despite power blackouts to prevent ignition viahttps: www.hvper.com/?ref=tt ,saddleridgefire,"['GavinNewsom', 'SaddleridgeFire', 'Diablo', 'Nor']",0
43,worth,"the destruction wont end once the fires are out.. if we have another record rainfall winter, there will be plenty of mudslides/flooding as a result of burned out areas.. especially those hillsides near homes

#kincadefire #gettyfire #tickfire #saddleridgefire",saddleridgefire,"['kincadefire', 'gettyfire', 'TickFire', 'saddleridgefire']",0
44,Emergency Management,what fires are burning in california and which are the most dangerous? http: bit.ly/2pqnorp  #kincade #tickfire #skyfire #saddleridgefire pic.twitter.com/vyumls0olw,saddleridgefire,"['Kincade', 'TickFire', 'SkyFire', 'SaddleridgeFire']",0
45,AQ Environmental,"delivering #hepa #airscrubbers to help buildings, hospitals schools, offices and homes fight smoke damage and obtain safer air to breath.
.
.
.
.
.
.
.
   #kincadefire #oakfire #gettyfire #palisadesfire #tickfire #saddleridgefire #sandalwoodfire #cherryfire #fire #smokepic.twitter.com/mwfdvp4rvb",saddleridgefire,"['HEPA', 'airscrubbers', 'KincadeFire', 'Oakfire', 'Gettyfire', 'PalisadesFire', 'TickFire', 'SaddleridgeFire', 'SandalwoodFire', 'CherryFire', 'fire', 'smokepic']",0
46,Compounding Pharmacy of Beverly Hills,"with the conditions so dry in california, please prepare yourself. remember the 6 ps when evacuating.
people & pets
papers (important documents)
prescriptions
photos
pc hard drives & disks
""plastic"" (credit/atm cards) & cash
#gettyfire #tickfire #saddleridgefire pic.twitter.com/wnej4yhakx",saddleridgefire,"['gettyfire', 'tickfire', 'saddleridgefire']",0
47,Brennan Prill ⚡︎,"as of 8am pdt in #socal
#kincadefire: 66,231 acres | 5%

#saddleridgefire: 8,799 acres | 97%

#tickfire: 4,615 acres | 70%

#burrisfire: 350 acres | 20%

#skyfire: 150 acres | 90%

#sawdayfire: 97 acres | 98%

#gettyfire: new (updates soon)pic.twitter.com/fmfijudd92",saddleridgefire,"['SoCal', 'KincadeFire', 'SaddleRidgeFire', 'TickFire', 'BurrisFire', 'SkyFire', 'SawdayFire', 'GettyFire']",0
48,Dr. Marena Lin,when fires are so out-of-control that our firefighters don’t have time to be thanked... #gettyfire #saddleridgefire pic.twitter.com/w8flgtmhjd,saddleridgefire,"['GettyFire', 'SaddleridgeFire']",0
49,🍊range 🌊ounty for Pete 🐝,"our hearts are with our everyone impacted by the 8 active #californiafires and the 30+ fires already contained in 2019. please dm if theres anything we can do to help!

#gettyfire #kincaidfire #tickfire #saddleridgefire #taboosefire #cowfire #sawdayfire #lafayettefire #teampetepic.twitter.com/fyhsknzljx",saddleridgefire,"['CaliforniaFires', 'GettyFire', 'KincaidFire', 'TickFire', 'SaddleridgeFire', 'TabooseFire', 'CowFire', 'SawdayFire', 'LafayetteFire', 'TeamPetepic']",0
50,Rosie,so in the past few weeks the la area has had #saddleridgefire #pacificpalisadesfire #tickfire and now the #gettyfire what the hell is happening?,saddleridgefire,"['SaddleridgeFire', 'PacificPalisadesFire', 'TickFire', 'GettyFire']",0
51,IZASocaJunkie🇬🇾🇬🇾,"some states have snow days, out here in california we have fire days   #firedays #firestate #wildfires #saddleridgefire #tickfire #gettyfire #schoolclosures #lausd",saddleridgefire,"['FireDays', 'FireState', 'Wildfires', 'SaddleridgeFire', 'TickFire', 'GettyFire', 'SchoolClosures', 'LAUSD']",0
52,Amber Says IDGAF,"crikey, another fire this year near the getty?! can california please stop burning?!?!?!? 
#gettyfire
#tickfire
#kincadefire
#saddleridgefire
#toodamnmanyfires",saddleridgefire,"['GettyFire', 'TickFire', 'KincadeFire', 'SaddleridgeFire', 'TooDamnManyFires']",0
53,hermela aregawi,"weve had several fires in last few weeks, #saddleridgefire #palisadesfire #kincadefire (norcal) #tickfire, dangerous season right now. santa ana winds pick up sept -april.. no significant rainfall.. very very concerned abt weather conditions. - @lafd #gettyfire @cbslapic.twitter.com/ibdkfifojr",saddleridgefire,"['saddleridgefire', 'palisadesfire', 'Kincadefire', 'tickfire', 'GettyFire']",0
54,K. L. Connie Wang,"no, thats in northern california. im in so cal. we had the #tickfire and #saddleridgefire plus a bunch more but im okay!",saddleridgefire,"['TickFire', 'SaddleridgeFire']",0
55,🔅Danana🔅,"you’re not to bright are you kayla ? how y’all gonna door knock after two major fires 
#tickfire #saddleridgefire 
y’all care more about losing a seat in congress, than helping those in need @redcross @redcrossnorcal could use some volunteers  ca fires",saddleridgefire,"['TickFire', 'SaddleridgeFire']",0
56,Marie Gould Harper,"the #saddleridgefire, which has burned about 4,700 acres of northern los angeles since thursday evening, claimed its first fatality friday morning. https: lnkd.in/eye2smn ",saddleridgefire,['SaddleridgeFire'],0
57,ËMPTŸMÜŠÏČ,"smoke and flames poured from underground sewers in #porterranch, #california, as residents were evacuated in the face of the advancing #saddleridgefire... https: youtu.be/lepoesqjae8 ",saddleridgefire,"['PorterRanch', 'California', 'SaddleridgeFire']",0
58,"chm,🇺🇸🌎✝️☸️","hey, #socal, too, although, admittedly, not as hellish. (*not* competing!) #tickfire

hell of an awful week in ca.  altogether, a bad october. add from earlier this month, the large #saddleridgefire, the deadly #sandalwoodfire, and three rounds of heat and #santaanawinds",saddleridgefire,"['SoCal', 'TickFire', 'SaddleridgeFire', 'SandalwoodFire', 'SantaAnaWinds']",0
59,stevengregory,#tickfire #saddleridgefire #kincaidfire #fire #wildfires #wildfire @kfiam640 @conwayshow @janewells @darksecretplace @billhandelshow @johnandkenshowhttps: twitter.com/stevengregory/status/1188204737050464256 …,saddleridgefire,"['tickfire', 'SaddleridgeFire', 'kincaidfire', 'fire', 'wildfires', 'wildfire']",0
60,Loraine Lundquist for CD 12,"heres a list of recovery resources for those affected by the #saddleridgefire: 
https: empowerla.org/saddleridge-fire-online-recovery-resources-list/ …",saddleridgefire,['SaddleridgeFire'],0
61,Wildfire Incidents,"wildfires in ca:
#minesfire
#caplesfire
#taboosefire
#saddleridgefire
#palisadesfire
#tickfire
#sepulvedafire
#forkfire
#martinez3fire
#littlemountainfire
#oldwaterfire
#oakfire
#sawdayfire
#millerfire
#cabrillofire
#kincadefire
#southfire",saddleridgefire,"['MinesFire', 'CaplesFire', 'TabooseFire', 'SaddleridgeFire', 'PalisadesFire', 'TickFire', 'SepulvedaFire', 'ForkFire', 'Martinez3Fire', 'LittleMountainFire', 'OldWaterFire', 'OakFire', 'SawdayFire', 'MillerFire', 'CabrilloFire', 'KincadeFire', 'SouthFire']",0
62,Wildfire Incidents,"*there are 7 pages
page 2 
10-26-19 am update
list of the 2019 current wildfires in ca:
los angeles county
#saddleridgefire 8,799 acres 97% contained 
#palisadesfire  42 acres 75% contained 
#tickfire 4,615 acres 25% contained 
#sepulvedafire 60 acres 80% contained",saddleridgefire,"['SaddleridgeFire', 'PalisadesFire', 'TickFire', 'SepulvedaFire']",0
63,Chris Giza,multiple #wildfires burning as hot dry weather continues. thanks to #firefighters for protecting people & property. #tickfire 25% contained #saddleridgefire 97% #kincadefire 10% #palisadesfire 100% #sawdayfire 70% @calfire_pio @calfire @lafdvalley @lacofdpiopic.twitter.com/ldplhxqxl5,saddleridgefire,"['wildfires', 'firefighters', 'TickFire', 'SaddleridgeFire', 'KincadeFire', 'PalisadesFire', 'SawdayFire']",0
64,Kelly Publicover,to firefighters and residents in harms way of the fires...please stay safe!  #tickfire #oldwaterfire #oakfire #palisadesfire #kincaidfire #nelsonfire #muirfire #saddleridgefire #cabrillofire,saddleridgefire,"['TickFire', 'OldWaterFire', 'OakFire', 'PalisadesFire', 'KincaidFire', 'NelsonFire', 'MuirFire', 'saddleridgefire', 'CabrilloFire']",0
65,Anibal Mijangos,just saw flames where the #saddleridgefire burned. off of the 5. crazy how a burned area can reignite if the conditions are right.,saddleridgefire,['SaddleridgeFire'],0
66,Alltagsmagazin,neue erkenntnisse zu den ursachen beim kincade fire #kincadefire #saddleridgefire https: alltagsmagazin.de/?p=24963  please retweet!,saddleridgefire,"['kincadefire', 'saddleridgefire']",0
67,"chm,🇺🇸🌎✝️☸️","i wonder how many by sce, so cal edison? i can think of a couple likely, including the recent #saddleridgefire",saddleridgefire,['SaddleRidgeFire'],0
68,BC Wildfire Weekly,"fire safety tips via @kpscal_media.

#basinfire #kincadefire #tickfire #oldfire #walnutfire #millerfire #sawdayfire #valverdefire #palisadesfire #saddleridgefire #firesafety #wildfireshttps: twitter.com/kpscal_media/status/1187802590597091328 …",saddleridgefire,"['BasinFire', 'KincadeFire', 'TickFire', 'OldFire', 'WalnutFire', 'MillerFire', 'SawdayFire', 'ValVerdeFire', 'PalisadesFire', 'SaddleridgeFire', 'firesafety', 'wildfireshttps']",0
69,Andrew Whelton,per a #campfire homeowner their plastic pipe conveying water from their private well to the house melted.  definitely going to happen again. may have already happened in the #kincadefire #tickfire #saddleridgefire,saddleridgefire,"['campfire', 'KincadeFire', 'TickFire', 'SaddleridgeFire']",0
70,Kathleen Lyons,we still havent learned cause of #saddleridgefire ...,saddleridgefire,['SaddleridgeFire'],0
71,stevengregory,#tickfire #saddleridgefire #kincaidfire #fire #wildfires #wildfire @kfiam640 @conwayshow @janewells @darksecretplace @billhandelshow @johnandkenshowhttps: twitter.com/stevengregory/status/1188204737050464256 …,saddleridgefire,"['tickfire', 'SaddleridgeFire', 'kincaidfire', 'fire', 'wildfires', 'wildfire']",0
72,Loraine Lundquist for CD 12,"heres a list of recovery resources for those affected by the #saddleridgefire: 
https: empowerla.org/saddleridge-fire-online-recovery-resources-list/ …",saddleridgefire,['SaddleridgeFire'],0
73,Wildfire Incidents,"wildfires in ca:
#minesfire
#caplesfire
#taboosefire
#saddleridgefire
#palisadesfire
#tickfire
#sepulvedafire
#forkfire
#martinez3fire
#littlemountainfire
#oldwaterfire
#oakfire
#sawdayfire
#millerfire
#cabrillofire
#kincadefire
#southfire",saddleridgefire,"['MinesFire', 'CaplesFire', 'TabooseFire', 'SaddleridgeFire', 'PalisadesFire', 'TickFire', 'SepulvedaFire', 'ForkFire', 'Martinez3Fire', 'LittleMountainFire', 'OldWaterFire', 'OakFire', 'SawdayFire', 'MillerFire', 'CabrilloFire', 'KincadeFire', 'SouthFire']",0
74,Wildfire Incidents,"*there are 7 pages
page 2 
10-26-19 am update
list of the 2019 current wildfires in ca:
los angeles county
#saddleridgefire 8,799 acres 97% contained 
#palisadesfire  42 acres 75% contained 
#tickfire 4,615 acres 25% contained 
#sepulvedafire 60 acres 80% contained",saddleridgefire,"['SaddleridgeFire', 'PalisadesFire', 'TickFire', 'SepulvedaFire']",0
75,Chris Giza,multiple #wildfires burning as hot dry weather continues. thanks to #firefighters for protecting people & property. #tickfire 25% contained #saddleridgefire 97% #kincadefire 10% #palisadesfire 100% #sawdayfire 70% @calfire_pio @calfire @lafdvalley @lacofdpiopic.twitter.com/ldplhxqxl5,saddleridgefire,"['wildfires', 'firefighters', 'TickFire', 'SaddleridgeFire', 'KincadeFire', 'PalisadesFire', 'SawdayFire']",0
76,Kelly Publicover,to firefighters and residents in harms way of the fires...please stay safe!  #tickfire #oldwaterfire #oakfire #palisadesfire #kincaidfire #nelsonfire #muirfire #saddleridgefire #cabrillofire,saddleridgefire,"['TickFire', 'OldWaterFire', 'OakFire', 'PalisadesFire', 'KincaidFire', 'NelsonFire', 'MuirFire', 'saddleridgefire', 'CabrilloFire']",0
77,Anibal Mijangos,just saw flames where the #saddleridgefire burned. off of the 5. crazy how a burned area can reignite if the conditions are right.,saddleridgefire,['SaddleridgeFire'],0
78,Alltagsmagazin,neue erkenntnisse zu den ursachen beim kincade fire #kincadefire #saddleridgefire https: alltagsmagazin.de/?p=24963  please retweet!,saddleridgefire,"['kincadefire', 'saddleridgefire']",0
79,"chm,🇺🇸🌎✝️☸️","i wonder how many by sce, so cal edison? i can think of a couple likely, including the recent #saddleridgefire",saddleridgefire,['SaddleRidgeFire'],0
80,BC Wildfire Weekly,"fire safety tips via @kpscal_media.

#basinfire #kincadefire #tickfire #oldfire #walnutfire #millerfire #sawdayfire #valverdefire #palisadesfire #saddleridgefire #firesafety #wildfireshttps: twitter.com/kpscal_media/status/1187802590597091328 …",saddleridgefire,"['BasinFire', 'KincadeFire', 'TickFire', 'OldFire', 'WalnutFire', 'MillerFire', 'SawdayFire', 'ValVerdeFire', 'PalisadesFire', 'SaddleridgeFire', 'firesafety', 'wildfireshttps']",0
81,Andrew Whelton,per a #campfire homeowner their plastic pipe conveying water from their private well to the house melted.  definitely going to happen again. may have already happened in the #kincadefire #tickfire #saddleridgefire,saddleridgefire,"['campfire', 'KincadeFire', 'TickFire', 'SaddleridgeFire']",0
82,Kathleen Lyons,we still havent learned cause of #saddleridgefire ...,saddleridgefire,['SaddleridgeFire'],0
83,211 LA County,"was your property or home damaged by the #saddleridgefire ? please fill out this damage assessment form @ http: 211la.org/fire-saddleridge …. or visit the local assistance center @ sylmar recreation center @ 13109 borden ave, sylmar 91342. open form 10/17 - 10/26pic.twitter.com/zzntufomt0",saddleridgefire,['SaddleRidgeFire'],0
84,Paul Doherty,"kudos to @lafd and gisser rene gonzalez who is my @napsgfoundation #gishero of the work for his public information map work on the #saddleridgefire and now #palisadesfire. 

clear, concise, spatially explicit public information via a load-balanced and mobile-responsive map. https: twitter.com/lafd/status/1186381830863257600 …pic.twitter.com/f3diu3i03a",saddleridgefire,"['GISHero', 'SaddleRidgeFire', 'PalisadesFire']",0
85,SoCal350,"the #saddleridgefire was 89% contained this morning. it reached the perimeter of the #alisocanyon gas storage facility, jeopardizing sfv public health. @gavinnewsom #shutdownalisocanyon
@saveporterranch @groundgamela @sunrisemvmtla @xrebellionla @foodandwaterwatchpic.twitter.com/rv9v1nrh76",saddleridgefire,"['SaddleRidgeFire', 'AlisoCanyon', 'shutdownalisocanyon']",0
86,Brandon A,"update on the #californiafires as of 11:18am today.

#beaumontfire
#saddleridgefire
#briceburgfire
#californiawindspic.twitter.com/usr2y3fkhq",saddleridgefire,"['CaliforniaFires', 'BeaumontFire', 'SaddleRidgeFire', 'BriceburgFire', 'CaliforniaWindspic']",0
87,#DEFENDtheUNBORN ! 👶👣👼🌹🥀🎵🎶✝️⛪🙏♥️😎🇺🇸,"you can see an interactive list & locations of the various california #wildfires at https: www.latimes.com/wildfires-map/  

including #ikesfire #deckerfire #snowcreekfire
#taboosefire #palisadesfire #saddleridgefire and many more pic.twitter.com/2pqbamsikp",saddleridgefire,"['wildfires', 'IkesFire', 'DeckerFire', 'SnowCreekFire', 'TabooseFire', 'PalisadesFire', 'SaddleRidgeFire']",0
